CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-12 00:00,5.3,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-13 00:00,11.3,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-14 00:00,10.7,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-15 00:00,4.3,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-16 00:00,0,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-17 00:00,0.6,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-18 00:00,4,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-19 00:00,0,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-20 00:00,0,50,,900
26135170,BOQUERON EL [26135170],4.7833333330,-75.38333333,4500,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Risaralda,Santa Rosa De Cabal,15/07/1981 00:00,15/12/1986 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1981-10-21 00:00,0,50,,900
